Wohnfläche,Baujahr_kl,Grundpreis_eur_m2
143-144,1999-2008,11.24
145-146,1999-2008,11.28
147-148,1999-2008,11.32
149-150,1999-2008,11.36
151-152,1999-2008,11.4
153-154,1999-2008,11.44
155-156,1999-2008,11.47
157-158,1999-2008,11.49
159-160,1999-2008,11.52
20-22,2009-2018,21.5
23-24,2009-2018,20.71
25-26,2009-2018,19.99
27-28,2009-2018,19.32
29-30,2009-2018,18.71
31-32,2009-2018,18.14
33-34,2009-2018,17.63
35-36,2009-2018,17.16
37-38,2009-2018,16.74
39-40,2009-2018,16.35
41-42,2009-2018,16.01
43-44,2009-2018,15.7
45-46,2009-2018,15.42
47-48,2009-2018,15.17
49-50,2009-2018,14.95
51-52,2009-2018,14.76
53-54,2009-2018,14.58
55-56,2009-2018,14.43
57-58,2009-2018,14.29
59-60,2009-2018,14.17
61-62,2009-2018,14.05
63-64,2009-2018,13.95
65-66,2009-2018,13.85
67-68,2009-2018,13.75
69-70,2009-2018,13.66
71-72,2009-2018,13.57
73-74,2009-2018,13.47
75-76,2009-2018,13.38
77-78,2009-2018,13.3
79-80,2009-2018,13.21
81-82,2009-2018,13.13
83-84,2009-2018,13.05
85-86,2009-2018,12.97
87-88,2009-2018,12.89
89-90,2009-2018,12.82
91-92,2009-2018,12.76
93-94,2009-2018,12.69
95-96,2009-2018,12.63
97-98,2009-2018,12.58
99-100,2009-2018,12.53
101-102,2009-2018,12.49
103-104,2009-2018,12.45
105-106,2009-2018,12.41
107-108,2009-2018,12.39
109-110,2009-2018,12.37
111-112,2009-2018,12.35
113-114,2009-2018,12.34
115-116,2009-2018,12.34
117-118,2009-2018,12.35
119-120,2009-2018,12.36
121-122,2009-2018,12.37
123-124,2009-2018,12.4
125-126,2009-2018,12.42
127-128,2009-2018,12.45
129-130,2009-2018,12.49
131-132,2009-2018,12.52
133-134,2009-2018,12.56
135-136,2009-2018,12.6
137-138,2009-2018,12.64
139-140,2009-2018,12.69
141-142,2009-2018,12.73
143-144,2009-2018,12.77
145-146,2009-2018,12.82
147-148,2009-2018,12.86
149-150,2009-2018,12.9
151-152,2009-2018,12.93
153-154,2009-2018,12.97
155-156,2009-2018,13.0
157-158,2009-2018,13.03
159-160,2009-2018,13.05
20-22,2019-2021,22.95
23-24,2019-2021,22.17
25-26,2019-2021,21.44
27-28,2019-2021,20.77
29-30,2019-2021,20.16
31-32,2019-2021,19.6
33-34,2019-2021,19.08
35-36,2019-2021,18.62
37-38,2019-2021,18.19
39-40,2019-2021,17.81
41-42,2019-2021,17.46
43-44,2019-2021,17.15
45-46,2019-2021,16.87
47-48,2019-2021,16.63
49-50,2019-2021,16.41
51-52,2019-2021,16.21
53-54,2019-2021,16.04
55-56,2019-2021,15.88
57-58,2019-2021,15.74
59-60,2019-2021,15.62
61-62,2019-2021,15.51
63-64,2019-2021,15.4
65-66,2019-2021,15.3
67-68,2019-2021,15.21
69-70,2019-2021,15.11
71-72,2019-2021,15.02
73-74,2019-2021,14.93
75-76,2019-2021,14.84
77-78,2019-2021,14.75
79-80,2019-2021,14.66
81-82,2019-2021,14.58
83-84,2019-2021,14.5
85-86,2019-2021,14.42
87-88,2019-2021,14.35
89-90,2019-2021,14.28
91-92,2019-2021,14.21
93-94,2019-2021,14.15
95-96,2019-2021,14.09
97-98,2019-2021,14.03
99-100,2019-2021,13.98
101-102,2019-2021,13.94
103-104,2019-2021,13.9
105-106,2019-2021,13.87
107-108,2019-2021,13.84
109-110,2019-2021,13.82
111-112,2019-2021,13.8
113-114,2019-2021,13.8
115-116,2019-2021,13.79
117-118,2019-2021,13.8
119-120,2019-2021,13.81
121-122,2019-2021,13.83
123-124,2019-2021,13.85
125-126,2019-2021,13.88
127-128,2019-2021,13.91
129-130,2019-2021,13.94
131-132,2019-2021,13.98
133-134,2019-2021,14.01
135-136,2019-2021,14.06
137-138,2019-2021,14.1
139-140,2019-2021,14.14
141-142,2019-2021,14.18
143-144,2019-2021,14.23
145-146,2019-2021,14.27
147-148,2019-2021,14.31
149-150,2019-2021,14.35
151-152,2019-2021,14.39
153-154,2019-2021,14.42
155-156,2019-2021,14.45
157-158,2019-2021,14.48
159-160,2019-2021,14.5
20-22,2022-2023,23.61
23-24,2022-2023,22.82
25-26,2022-2023,22.1
27-28,2022-2023,21.43
29-30,2022-2023,20.81
